ああ;Ah!, Oh!;aa
あう;to meet, to see;au
あお;blue;ao
あおい;blue;aoi
あか;red;aka
あかい;red;akai
あかるい;bright, cheerful;akarui
あき;autumn, fall;aki
あく;to open, to become open;aku
あける;to open;akeru
あげる;to give;ageru
あさ;morning;asa
あさごはん;breakfast;asagohan
あさって;day after tomorrow;asatte
あし;foot, leg;ashi
あした;tomorrow;ashita
あそこ;there, over there, that place;asoko
あそぶ;to play, to enjoy oneself;asobu
あたたかい;warm, mild;atatakai
あたま;head;atama
あたらしい;new;atarashii
あちら;there, yonder, that;achira
あつい;hot, warm;atsui
あつい;hot (thing);atsui
あつい;kind, warm(hearted), thick, deep;atsui
あっち;over there;atchi
あと;afterwards, since then, in the future;ato
あなた;you;anata
あに;(hum) older brother;ani
あね;(hum) older sister;ane
あの;that over there;ano
あの;um...;ano
アパート;apartment (abbr);apaato
あびる;to bathe, to shower;abiru
あぶない;dangerous, critical, watch out!;abunai
あまい;generous, sweet;amai
あまり;not very, not much;amari
あめ;rain;ame
あめ;(hard) candy, toffee;ame
あらう;to wash;arau
ある [存在];to be;aru [存在]
ある [所有];to have;aru [所有]
あるく;to walk;aruku
あれ;that, that thing;are
いい/よい;good;ii/yoi
いいえ;no, not at all;iie
いう;to say;iu
いえ;house, family;ie
いかが;how, in what way;ikaga
いく/ゆく;to go;iku/yuku
いくつ;how many?, how old?;ikutsu
いくら;how much?, how many?;ikura
いけ;pond;ike
いしゃ;doctor (medical);isha
いす;chair;isu
いそがしい;busy, irritated;isogashii
いたい;painful;itai
いち;one;ichi
いちにち;1 day (duration);ichinichi
いちばん;best, first, number one;ichiban
いつ;when;itsu
いつか;five days, the fifth day (of the month);itsuka
いっしょ;together;issho
いつつ;five;itsutsu
いつも;always, every time;itsumo
いぬ;dog;inu
いま;now;ima
いみ;meaning;imi
いもうと;younger sister;imouto
いや;disagreeable, no;iya
いりぐち;entrance, gate;iriguchi
いる; (hum) to be (animate), to exist;iru
いる;to need;iru
いれる;to put in;ireru
いろ;colour;iro
いろいろ;various;iroiro
うえ;above, on top of;ue
うしろ;behind, rear;ushiro
うすい;thin, weak;usui
うた;song;uta
うたう;to sing;utau
うち;house (one's own);uchi
うまれる;to be born;umareru
うみ;sea, beach;umi
うる;to sell;uru
うるさい;noisy, loud, annoying;urusai
うわぎ;coat, jacket;uwagi
え;picture, drawing, painting, sketch;e
えいが;movie, film;eiga
えいがかん;movie theatre (theater), cinema;eigakan
えいご;the English language;eigo
ええ;yes;ee
えき;station;eki
エレベーター;elevator;erebeetaa
～えん;yen (currency);～en
えんぴつ;pencil;enpitsu
お～;honourable ～ (honorific);o～
おいしい;delicious, tasty;oishii
おおい;many;ooi
おおきい;big;ookii
おおきな;big;ookina
おおぜい;great number of people;oozei
おかあさん;(hon) mother;okaasan
おかし;confections, sweets, candy;okashi
おかね;money;okane
おきる;to get up, to rise;okiru
おく;to put, to place;oku
おくさん;(hon) wife;okusan
おさけ;alcohol, sake (rice wine);osake
おさら;plate, dish;osara
おじ・さん;uncle, middle aged man;oji/san
おじいさん;grandfather, male senior citizen;ojiisan
おしえる;to teach, to inform;oshieru
おす;to push, to press;osu
おそい;late, slow;osoi
おちゃ;tea (green);ocha
おてあらい;toilet, lavatory, bathroom;otearai
おとうさん;(hon) father;otousan
おとうと;younger brother;otouto
おとこ;man;otoko
おとこのこ;boy;otokonoko
おととい;day before yesterday;ototoi
おととし;year before last;ototoshi
おとな;adult;otona
おなか;stomach;onaka
おなじ;same, identical, similar;onaji
おにいさん;(hon) older brother;oniisan
おねえさん;(hon) older sister;oneesan
おばさん;aunt;obasan
おばあさん;grandmother, female senior-citizen;obaasan
おふろ;bath;ofuro
おべんとう;boxed lunch;obentou
おぼえる;to remember, to memorize;oboeru
おまわりさん;policeman (friendly term);omawarisan
おもい;heavy;omoi
おもしろい;interesting, amusing;omoshiroi
およぐ;to swim;oyogu
おりる;to alight (eg from bus), to get off;oriru
おわる;to finish, to close;owaru
おんがく;music;ongaku
おんな;woman, girl, daughter;onna
おんなのこ;girl;onnanoko
～かい;counter for occurrences;～kai
～かい;counter for storeys of a building;～kai
がいこく;foreign country;gaikoku
がいこくじん;foreigner;gaikokujin
かいしゃ;company, corporation;kaisha
かいだん;stairs;kaidan
かいもの;shopping;kaimono
